newsgroup_a,newsgroup_b,messages_a,messages_b,cosine_similarity
no.test,no.vit.diverse,3374,622,0.68420255
no.alt.frustrasjoner,no.video,35424,510,0.6842023
no.alt.arkiv,no.unix,1984,3935,0.6841965
no.alt.config,no.musikk.klassisk,625,288,0.6841922
no.alt.mat.drikke,no.uninett.hjelp,758,78,0.68417567
no.speider,no.tungregning,1463,92,0.6841705
no.c,no.jus,2562,8006,0.6841629
no.audio,no.student.nett,10340,418,0.68413186
no.spill,no.uninett.drift,12310,110,0.6841166
no.alt.mat.drikke,no.net,758,2082,0.68406814
no.ef,no.kryptografi,1368,537,0.68404084
no.sources.wanted,no.spill.rollespill,152,1017,0.684034
no.alt.amiga,no.uninett.skole,775,829,0.68403
no.eunet.drift,no.stortinget,405,2563,0.6840132
no.prat.aksjer,no.vit.diverse,937,622,0.6840047
no.ai,no.biz.annonser,332,3658,0.6839973
no.alt.irctreff,no.lisp,493,504,0.6839917
no.eunet.diverse,no.x,169,390,0.68398297
no.alt.frustrasjoner,no.kryptografi,35424,537,0.6839414
no.biz.annonser,no.irc,3658,6511,0.6838725
no.ai,no.spill.rollespill,332,1017,0.6838675
no.marked.data,no.mswindow,22621,772,0.6838534
no.hobby.diverse,no.it.os.os2,482,696,0.6838363
no.biz.diskusjoner,no.x,276,390,0.68382335
no.spill,no.vit.diverse,12310,622,0.6838013
no.alt.mat.drikke,no.sport.diverse,758,6331,0.683756
no.ms-windows,no.perl,8305,1087,0.68370837
no.mail.drift,no.sport.diverse,576,6331,0.68369895
no.alt.pompelog,no.reiser,287,1987,0.68365675
no.alt.irctreff,no.slekt.programmer,493,459,0.68364674
no.audio,no.spill.rollespill,10340,1017,0.6836168
no.alt.flame,no.telepost,19929,948,0.6835619
no.musikk.gitar,no.test,2387,3374,0.68354857
no.religion,no.speider,20428,1463,0.6835296
no.alt.fan.de-lillos,no.alt.mat,244,3909,0.6835255
no.alt.mat,no.sources.wanted,3909,152,0.68351007
no.alt.sjokolade,no.kjemi,580,1463,0.68350387
no.amiga,no.musikk,3265,27521,0.6834834
no.musikk.klassisk,no.norsk,288,17383,0.68334866
no.news.diverse,no.x,9287,390,0.6833364
no.irc,no.video,6511,510,0.68333197
no.alt.irctreff,no.pc,493,25734,0.68327564
no.irc,no.org.decus,6511,25,0.68325216
no.hobby.diverse,no.musikk.klassisk,482,288,0.6832288
no.hobby.diverse,no.lisp,482,504,0.68319285
no.alt.tegneserier,no.lisp,2246,504,0.68318534
no.audio,no.skole.diverse,10340,566,0.6831225
no.ms-windows,no.uninett.skole,8305,829,0.68308365
no.alt.pompelog,no.x,287,390,0.68303984
no.biz.diskusjoner,no.sport.diverse,276,6331,0.68303573
no.medisin,no.musikk.gitar,1490,2387,0.682939
no.film,no.prat.narkotika,12505,2474,0.6829351
no.alt.diskusjoner,no.audio,15893,10340,0.68292373
no.musikk.gitar,no.www,2387,3436,0.68286
no.news.diverse,no.video,9287,510,0.6828471
no.mail.diverse,no.svar,1978,207,0.6827571
no.perl,no.typografi,1087,303,0.6827378
no.alt.diskusjoner,no.uninett.drift,15893,110,0.68272793
no.net,no.svar,2082,207,0.6826392
no.psykologi,no.spill.rollespill,1754,1017,0.682624
no.ai,no.prat.narkotika,332,2474,0.68261945
no.marked.diskusjon,no.musikk,76,27521,0.6826148
no.mail.drift,no.org.decus,576,25,0.68259585
no.alt.katter,no.kjemi,1932,1463,0.6825736
no.havforskning,no.org.nobug.diverse,516,119,0.682556
no.biz.nettilbydere,no.org.decus,824,25,0.682528
no.it.emacs,no.litteratur,1054,3989,0.68252206
no.perl,no.slekt.programmer,1087,459,0.68250203
no.spill.rollespill,no.stortinget,1017,2563,0.682475
no.alt.mat.drikke,no.pressemeldinger.diskusjon,758,42,0.6824602
no.lisp,no.prat.politikk,504,3672,0.682364
no.film,no.marked.diskusjon,12505,76,0.6823297
no.alt.tegneserier,no.vr,2246,144,0.68228596
no.norsk.fagord,no.org.isoc-no,310,46,0.68226194
no.mail.drift,no.prat.narkotika,576,2474,0.6822617
no.org.isoc-no,no.uninett.katalog,46,32,0.68219155
no.it.emacs,no.radio_tv,1054,1682,0.6821865
no.prat.narkotika,no.standard,2474,98,0.6821752
no.musikk,no.telepost,27521,948,0.68217164
no.sport.orientering,no.uninett.skole,63,829,0.6821234
no.alt.gullkorn,no.amiga,7,3265,0.6820878
no.eunet.drift,no.norsk,405,17383,0.68208313
no.folklore.overtro,no.sources.wanted,11,152,0.6820494
no.biz.nettilbydere,no.test,824,3374,0.682017
no.it.os.os2,no.typografi,696,303,0.6820091
no.eunet.drift,no.test,405,3374,0.6819843
no.ms-windows,no.news.diverse,8305,9287,0.6818794
no.lisp,no.speider,504,1463,0.6818703
no.spill,no.x,12310,390,0.68186176
no.org.efn.diskusjon,no.spill,1341,12310,0.681798
no.alt.gullkorn,no.alt.mat.drikke,7,758,0.6817961
no.org.decus,no.tungregning,25,92,0.6817508
no.eunet.hjelp,no.pressemeldinger.diskusjon,601,42,0.68174136
no.general,no.it.os.os2,76902,696,0.6817311
no.alt.pompelog,no.it.os.os2,287,696,0.6817235
no.jus,no.uninett.katalog,8006,32,0.68170184
no.biz.annonser,no.org.decus,3658,25,0.6816902
no.c,no.ef,2562,1368,0.68167055
no.musikk.klassisk,no.speider,288,1463,0.6816635
no.multimedia,no.prat.politikk,2273,3672,0.6816592
no.biz.annonser.data,no.embnet,1311,398,0.68165237
no.alt.mat,no.standard,3909,98,0.6815937
no.multimedia,no.prat.seksualitet,2273,3616,0.6815901
no.alt.radio_tv.irma1000,no.biz.annonser,417,3658,0.6814916
no.bil,no.radio-tv,6651,4392,0.68148386
no.ef,no.it.emacs,1368,1054,0.6814816
no.ef,no.unix,1368,3935,0.68145716
no.biz.annonser,no.mswindow,3658,772,0.68144107
no.alt.diskusjoner,no.unix,15893,3935,0.68143964
no.org.efn.diskusjon,no.tungregning,1341,92,0.68139917
no.prat.aksjer,no.stortinget,937,2563,0.6813536
no.audio,no.typografi,10340,303,0.6813362
no.alt.config,no.sykkel,625,3996,0.68129337
no.norsk.fagord,no.religion,310,20428,0.68122905
no.alt.mat,no.stortinget,3909,2563,0.68111724
no.bolig,no.it.diverse,1148,527,0.6810963
no.bil,no.stortinget,6651,2563,0.68109006
no.bolig,no.nuug,1148,107,0.6810681
no.alt.amiga,no.alt.config,775,625,0.68096393
no.musikk,no.slekt,27521,8269,0.680913
no.amiga,no.norsk.fagord,3265,310,0.68089676
no.alt.pompel-og-pilt,no.uninett.katalog,367,32,0.6808385
no.alt.sjokolade,no.hobby.diverse,580,482,0.68083626
no.svar,no.telepost,207,948,0.6808031
no.linux,no.video,16315,510,0.68076015
no.musikk,no.org.efn.diskusjon,27521,1341,0.68075705
no.jus,no.pc,8006,25734,0.6807432
no.alt.sjokolade,no.prat.seksualitet,580,3616,0.6806356
no.biz.diskusjoner,no.sykkel,276,3996,0.6806164
no.alt.tegneserier,no.sport.orientering,2246,63,0.6805582
no.ai,no.alt.motorsykler,332,42775,0.68050474
no.alt.mat,no.radio_tv,3909,1682,0.6805036
no.ef,no.musikk.klassisk,1368,288,0.6804755
no.org.nobug.diverse,no.skole.diverse,119,566,0.6804453
no.bibsys,no.it.os.os2,98,696,0.68044055
no.biz.annonser,no.marked.bolig,3658,741,0.68043953
no.bolig,no.news.drift,1148,571,0.6804067
no.org.dnd,no.student.samfund,73,234,0.68039215
no.alt.motorsykler,no.amiga,42775,3265,0.6803707
no.marked.diskusjon,no.prat.narkotika,76,2474,0.68035716
no.alt.katter,no.ef,1932,1368,0.680263
no.alt.mat,no.reiser,3909,1987,0.6801646
no.lisp,no.vr,504,144,0.6801466
no.alt.radio_tv.irma1000,no.folklore.generelt,417,15,0.680144
no.org.efn.diskusjon,no.slekt.programmer,1341,459,0.6801308
no.folklore.generelt,no.news.diverse,15,9287,0.68009967
no.pc,no.speider,25734,1463,0.68009293
no.alt.flame,no.prat.ufo,19929,762,0.6800562
no.amiga,no.tungregning,3265,92,0.67999566
no.elektronikk,no.spill.rollespill,3838,1017,0.679994
no.bolig,no.standard,1148,98,0.6799539
no.alt.mat.drikke,no.musikk.klassisk,758,288,0.679906
no.ms-windows,no.standard,8305,98,0.6798617
no.media,no.mswindow,123,772,0.67983353
no.standard,no.svar,98,207,0.67972183
no.slekt.programmer,no.x,459,390,0.67970365
no.biz.diskusjoner,no.reiser,276,1987,0.67968994
no.linux,no.radio_tv,16315,1682,0.6796853
no.alt.frustrasjoner,no.prat.aksjer,35424,937,0.67962825
no.sport.fotball,no.stortinget,2324,2563,0.6796022
no.alt.amiga,no.general,775,76902,0.679586
no.it.os.os2,no.uninett.skole,696,829,0.67957175
no.alt.flame,no.prat.narkotika,19929,2474,0.6795672
no.alt.amiga,no.radio_tv,775,1682,0.67952764
no.uninett.hjelp,no.video,78,510,0.6794953
no.eunet.diverse,no.film,169,12505,0.6794793
no.lisp,no.student.samfund,504,234,0.6794701
no.alt.gledesutbrudd,no.folklore.generelt,11406,15,0.67946464
no.linux,no.org.efn.diskusjon,16315,1341,0.6794635
no.audio,no.vitser,10340,10517,0.67944837
no.alt.diskusjoner,no.sykkel,15893,3996,0.6794393
no.amiga,no.kjemi,3265,1463,0.6793903
no.alt.pompel-og-pilt,no.sport.fotball,367,2324,0.67937505
no.uninett.diverse,no.x,207,390,0.6793684
no.alt.tegneserier,no.it.emacs,2246,1054,0.67934924
no.amiga,no.org.efn.diskusjon,3265,1341,0.6793386
no.it.emacs,no.ms-windows,1054,8305,0.6793342
no.bolig,no.medisin,1148,1490,0.67931896
no.alt.frustrasjoner,no.marked,35424,26848,0.67930776
no.alt.config,no.bil,625,6651,0.6792427
no.alt.mat,no.musikk,3909,27521,0.6792406
no.media,no.reiser,123,1987,0.67921966
no.eunet.hjelp,no.vr,601,144,0.67921036
no.biz.annonser,no.news.diverse,3658,9287,0.67914104
no.alt.config,no.biz.annonser,625,3658,0.67913854
no.eunet.drift,no.slekt,405,8269,0.67912793
no.biz.annonser,no.student.samfund,3658,234,0.67911446
no.org.decus,no.uninett.drift,25,110,0.67911166
no.biz.diskusjoner,no.prat.narkotika,276,2474,0.67908585
no.eunet.hjelp,no.video,601,510,0.679063
no.religion,no.student.nett,20428,418,0.67904
no.c,no.litteratur,2562,3989,0.6790371
no.mail.drift,no.musikk,576,27521,0.67900264
no.alt.god.jul,no.sport.fotball,750,2324,0.67894846
no.ai,no.slekt.programmer,332,459,0.67893183
no.norsk,no.org.isoc-no,17383,46,0.67887914
no.hobby.diverse,no.prat.politikk,482,3672,0.6788582
no.skole.diverse,no.vr,566,144,0.678857
no.biz.annonser.data,no.uninett.hjelp,1311,78,0.67884976
no.uninett.drift,no.vitser,110,10517,0.678826
no.norsk.fagord,no.prat.ufo,310,762,0.6787484
no.alt.mat.drikke,no.spill,758,12310,0.6787331
no.alt.pompelog,no.marked.jobb,287,3836,0.6786766
no.bolig,no.tele,1148,5701,0.67862564
no.alt.fan.de-lillos,no.mail.diverse,244,1978,0.6785501
no.alt.motorsykler,no.psykologi,42775,1754,0.6785084
no.film,no.pressemeldinger.diskusjon,12505,42,0.6784659
no.news.diverse,no.sykkel,9287,3996,0.67844
no.elektronikk,no.sykkel,3838,3996,0.6784101
no.hobby.diverse,no.org.decus,482,25,0.6784084
no.folklore.edb,no.org.isoc-no,153,46,0.6783902
no.alt.pompelog,no.uninett.katalog,287,32,0.67837
no.mac,no.org.isoc-no,22107,46,0.6783478
no.alkohol,no.musikk.klassisk,3468,288,0.67831826
no.it.emacs,no.radio-tv,1054,4392,0.6782713
no.standard,no.x,98,390,0.6782414
no.audio,no.uninett.hjelp,10340,78,0.6782392
no.bibsys,no.org.decus,98,25,0.6782166
no.bolig,no.musikk.gitar,1148,2387,0.6782106
no.speider,no.unix,1463,3935,0.6781625
no.alt.config,no.video,625,510,0.6781382
no.musikk.gitar,no.norsk,2387,17383,0.67813116
no.elektronikk,no.kryptografi,3838,537,0.6780708
no.eunet.drift,no.vit.diverse,405,622,0.67796636
no.musikk,no.net,27521,2082,0.6779629
no.net,no.sport.diverse,2082,6331,0.67794466
no.mail.drift,no.prat.ufo,576,762,0.6779039
no.slekt,no.uninett.katalog,8269,32,0.67784685
no.eunet.drift,no.medisin,405,1490,0.67782897
no.prat.aksjer,no.standard,937,98,0.6778049
no.alt.radio-tv.irma-1000,no.sport.fotball,236,2324,0.6778022
no.tegnsett,no.tungregning,416,92,0.6777855
no.alt.sjokolade,no.media,580,123,0.677676
no.audio,no.pressemeldinger.diskusjon,10340,42,0.6775847
no.marked.data,no.student.nett,22621,418,0.67756957
no.alt.config,no.sport.fotball,625,2324,0.6774926
no.norsk.fagord,no.vr,310,144,0.6774511
no.prat.narkotika,no.telepost,2474,948,0.6774424
no.eunet.diverse,no.musikk.gitar,169,2387,0.6774292
no.medisin,no.org.isoc-no,1490,46,0.6774065
no.alt.god.jul,no.unix,750,3935,0.6773702
no.org.nobug.diverse,no.student.samfund,119,234,0.6773522
no.musikk.klassisk,no.standard,288,98,0.6772869
no.mac,no.student.samfund,22107,234,0.67720544
no.alt.amiga,no.alt.frustrasjoner,775,35424,0.6771445
no.alt.amiga,no.nuug,775,107,0.6770917
no.alt.tegneserier,no.religion,2246,20428,0.6770129
no.news.diverse,no.sport.fotball,9287,2324,0.67698365
no.org.dnd,no.pc,73,25734,0.6769531
no.org.isoc-no,no.vit.diverse,46,622,0.67693955
no.norsk,no.unix,17383,3935,0.6769199
no.org.isoc-no,no.sources.wanted,46,152,0.6768716
no.bolig,no.pressemeldinger.diskusjon,1148,42,0.67685604
no.marked.data,no.uninett.diverse,22621,207,0.6768462
no.alt.pompel-og-pilt,no.x,367,390,0.67684054
no.alkohol,no.sykkel,3468,3996,0.67679375
no.radio_tv,no.sport.orientering,1682,63,0.6767902
no.audio,no.norsk.fagord,10340,310,0.67676723
no.prat.aksjer,no.skole.diverse,937,566,0.67675185
no.kryptografi,no.media,537,123,0.67673886
no.bibsys,no.biz.annonser.data,98,1311,0.6767342
no.alt.diskusjoner,no.prat.aksjer,15893,937,0.67673403
no.alt.frustrasjoner,no.org.nobug.diverse,35424,119,0.6767319
no.mail.diverse,no.org.dnd,1978,73,0.67665935
no.bibsys,no.video,98,510,0.67664135
no.biz.nettilbydere,no.it.emacs,824,1054,0.67663836
no.alt.amiga,no.typografi,775,303,0.6766081
no.alt.fan.de-lillos,no.video,244,510,0.67654973
no.it.diverse,no.musikk,527,27521,0.6765433
no.alt.sjokolade,no.speider,580,1463,0.6765352
no.folklore.generelt,no.vitser,15,10517,0.67648035
no.alt.mat.drikke,no.marked,758,26848,0.6764475
no.alt.radio_tv.irma1000,no.reiser,417,1987,0.67641383
no.alt.pompelog,no.marked.data,287,22621,0.6764067
no.tele,no.vit.diverse,5701,622,0.6763342
no.elektronikk,no.prat.aksjer,3838,937,0.67629147
no.bil,no.multimedia,6651,2273,0.67628336
no.prat.seksualitet,no.test,3616,3374,0.67621547
no.audio,no.ef,10340,1368,0.6761676
no.musikk.gitar,no.sykkel,2387,3996,0.6761495
no.eunet.diverse,no.spill.rollespill,169,1017,0.67606133
no.audio,no.uninett.skole,10340,829,0.6760186
no.media,no.sykkel,123,3996,0.67598146
no.kjemi,no.tungregning,1463,92,0.67594576
no.alt.diskusjoner,no.bolig,15893,1148,0.67593324
no.biz.annonser,no.uninett.drift,3658,110,0.67592907
no.c,no.tex,2562,225,0.67589635
no.sport.diverse,no.uninett.hjelp,6331,78,0.6758124
no.marked.bil,no.sykkel,1599,3996,0.67574805
no.mail.diverse,no.video,1978,510,0.6757412
no.c,no.kryptografi,2562,537,0.67573833
no.biz.nettilbydere,no.x,824,390,0.67573714
no.alt.god.jul,no.org.isoc-no,750,46,0.6757078
no.skole.diverse,no.slekt.etterlysning,566,3114,0.67565215
no.alkohol,no.www,3468,3436,0.67560816
no.eunet.hjelp,no.marked.data,601,22621,0.67556316
no.alt.amiga,no.alt.tegneserier,775,2246,0.6755502
no.alt.diskusjoner,no.eunet.hjelp,15893,601,0.67554116
no.bil,no.radio_tv,6651,1682,0.67553025
no.kjemi,no.uninett.drift,1463,110,0.67551637
no.alkohol,no.elektronikk,3468,3838,0.6753879
no.jus,no.sykkel,8006,3996,0.6752461
no.alt.gledesutbrudd,no.linux,11406,16315,0.6752318
no.alt.radio-tv.irma-1000,no.marked.jobb,236,3836,0.6752278
no.biz.annonser,no.linux,3658,16315,0.6752254
no.marked.diskusjon,no.spill.rollespill,76,1017,0.67520565
no.biz.nettilbydere,no.prat.seksualitet,824,3616,0.67519385
no.alt.flame,no.vit.diverse,19929,622,0.67515516
no.kryptografi,no.student.nett,537,418,0.67515516
no.havforskning,no.marked.jobb,516,3836,0.6751535
no.alt.pompelog,no.prat.aksjer,287,937,0.675145
no.it.diverse,no.prat.politikk,527,3672,0.67514294
no.alkohol,no.uninett.hjelp,3468,78,0.67505395
no.marked,no.speider,26848,1463,0.67504984
no.kryptografi,no.linux,537,16315,0.67502296
no.spill,no.sport.orientering,12310,63,0.6749748
no.it.emacs,no.it.os.os2,1054,696,0.6749603
no.alt.flame,no.psykologi,19929,1754,0.6748855
no.general,no.org.dnd,76902,73,0.6748828
no.irc,no.mswindow,6511,772,0.67485243
no.alt.mat.drikke,no.audio,758,10340,0.67482793
no.c,no.speider,2562,1463,0.67481947
no.radio_tv,no.religion,1682,20428,0.674729
no.sport.orientering,no.uninett.drift,63,110,0.6746893
no.musikk.gitar,no.prat.seksualitet,2387,3616,0.6746463
no.folklore.generelt,no.mail.drift,15,576,0.6746313
no.audio,no.org.efn.diskusjon,10340,1341,0.6745496
no.pressemeldinger.diskusjon,no.sport.orientering,42,63,0.6745309
no.havforskning,no.sport.fotball,516,2324,0.6745272
no.alt.pompel-og-pilt,no.ms-windows,367,8305,0.67451805
no.alt.tegneserier,no.bil,2246,6651,0.6744695
no.ef,no.vr,1368,144,0.67444766
no.alt.fan.de-lillos,no.sport.orientering,244,63,0.67435324
no.marked,no.student.samfund,26848,234,0.6743156
no.irc,no.perl,6511,1087,0.6743144
no.marked,no.musikk,26848,27521,0.67426187
no.alt.flame,no.speider,19929,1463,0.6742182
no.it.emacs,no.student.nett,1054,418,0.674214
no.embnet,no.sport.orientering,398,63,0.6741288
no.alt.mat.drikke,no.spill.rollespill,758,1017,0.6740692
no.mail.diverse,no.spill.rollespill,1978,1017,0.6740628
no.biz.nettilbydere,no.litteratur,824,3989,0.67405915
no.marked,no.news.drift,26848,571,0.6740359
no.alt.amiga,no.alt.gledesutbrudd,775,11406,0.67400926
no.skole.diverse,no.uninett.katalog,566,32,0.67400575
no.vitser,no.vr,10517,144,0.67397815
no.alt.motorsykler,no.musikk.klassisk,42775,288,0.6739369
no.bil,no.prat.politikk,6651,3672,0.6738992
no.slekt.etterlysning,no.speider,3114,1463,0.6737743
no.folklore.edb,no.spill.rollespill,153,1017,0.6737281
no.alkohol,no.biz.nettilbydere,3468,824,0.6736907
no.pc,no.vitser,25734,10517,0.6736387
no.medisin,no.test,1490,3374,0.673572
no.speider,no.vr,1463,144,0.67353284
no.embnet,no.svar,398,207,0.6734872
no.reiser,no.sources.wanted,1987,152,0.6734555
no.news.diverse,no.prat.aksjer,9287,937,0.673402
no.alt.tegneserier,no.mac,2246,22107,0.67335075
no.pc,no.spill.rollespill,25734,1017,0.6733306
no.it.os.os2,no.perl,696,1087,0.6733037
no.mail.diverse,no.musikk.gitar,1978,2387,0.6732917
no.biz.annonser,no.eunet.drift,3658,405,0.6732625
no.sport.orientering,no.telepost,63,948,0.67325246
no.alt.irctreff,no.it.emacs,493,1054,0.67321074
no.ai,no.org.nobug.diverse,332,119,0.6731566
no.alt.radio-tv.irma-1000,no.it.os.os2,236,696,0.67311037
no.alt.fan.de-lillos,no.biz.nettilbydere,244,824,0.6730996
no.embnet,no.prat.aksjer,398,937,0.67309904
no.alt.katter,no.alt.motorsykler,1932,42775,0.6730125
no.bil,no.news.diverse,6651,9287,0.672926
no.kjemi,no.mac,1463,22107,0.6729184
no.eunet.diverse,no.prat.narkotika,169,2474,0.6729163
no.alt.god.jul,no.vr,750,144,0.67291135
no.ai,no.film,332,12505,0.672909
no.mswindow,no.uninett.diverse,772,207,0.67288834
no.alt.katter,no.speider,1932,1463,0.6728651
no.alt.irc-treff,no.slekt.etterlysning,1017,3114,0.6728532
no.alt.flame,no.student.samfund,19929,234,0.6728294
no.ms-windows,no.video,8305,510,0.67282
no.biz.annonser.data,no.linux,1311,16315,0.6727995
no.psykologi,no.uninett.hjelp,1754,78,0.6727464
no.hobby.diverse,no.sport.orientering,482,63,0.6727404
no.multimedia,no.sport.diverse,2273,6331,0.6727382
no.alt.katter,no.vit.diverse,1932,622,0.67270494
no.org.decus,no.unix,25,3935,0.6726705
no.bibsys,no.ms-windows,98,8305,0.6726306
no.reiser,no.sykkel,1987,3996,0.6726008
no.alt.motorsykler,no.eunet.drift,42775,405,0.67258865
no.alt.gullkorn,no.kryptografi,7,537,0.67257583
no.kryptografi,no.skole.diverse,537,566,0.67255765
no.alt.god.jul,no.audio,750,10340,0.67240417
no.eunet.diverse,no.musikk,169,27521,0.6723784
no.it.diverse,no.stortinget,527,2563,0.672374
no.kjemi,no.org.isoc-no,1463,46,0.67236966
no.havforskning,no.org.decus,516,25,0.67224395
no.student.nett,no.video,418,510,0.6722191
no.religion,no.telepost,20428,948,0.672217
no.pc,no.student.samfund,25734,234,0.6721933
no.alkohol,no.audio,3468,10340,0.67216694
no.it.emacs,no.student.samfund,1054,234,0.67216665
no.audio,no.eunet.diverse,10340,169,0.6721331
no.alt.katter,no.news.diverse,1932,9287,0.67212325
no.net,no.psykologi,2082,1754,0.6721156
no.audio,no.mail.diverse,10340,1978,0.672101
no.perl,no.telepost,1087,948,0.6720576
no.mac,no.speider,22107,1463,0.6720372
no.alt.gledesutbrudd,no.biz.annonser,11406,3658,0.67203104
no.tungregning,no.www,92,3436,0.6719622
no.audio,no.medisin,10340,1490,0.6719092
no.film,no.slekt,12505,8269,0.67189056
no.bil,no.skole.diverse,6651,566,0.67188954
no.alt.mat,no.prat.narkotika,3909,2474,0.6717729
no.amiga,no.vitser,3265,10517,0.67176574
no.alt.mat,no.irc,3909,6511,0.6717436
no.pressemeldinger,no.student.samfund,62,234,0.67160046
no.it.emacs,no.jus,1054,8006,0.6715741
no.alt.radio-tv.irma-1000,no.ms-windows,236,8305,0.6715541
no.biz.nettilbydere,no.prat.aksjer,824,937,0.6715381
no.irc,no.svar,6511,207,0.67151976
no.elektronikk,no.stortinget,3838,2563,0.6714834
no.film,no.sources.wanted,12505,152,0.6714709
no.bil,no.it.diverse,6651,527,0.67144275
no.elektronikk,no.litteratur,3838,3989,0.671381
no.norsk.fagord,no.uninett.drift,310,110,0.67137647
no.biz.annonser,no.unix,3658,3935,0.6713607
no.alt.irctreff,no.tungregning,493,92,0.6713469
no.biz.annonser,no.general,3658,76902,0.6713464
no.alt.irctreff,no.mac,493,22107,0.6713167
no.jus,no.vr,8006,144,0.67129225
no.typografi,no.uninett.katalog,303,32,0.67128664
no.folklore.edb,no.marked,153,26848,0.6711985
no.stortinget,no.test,2563,3374,0.6711885
no.biz.diskusjoner,no.prat.ufo,276,762,0.6710602
no.kryptografi,no.pressemeldinger.diskusjon,537,42,0.67097944
no.slekt.programmer,no.spill.rollespill,459,1017,0.67097396
no.alt.gledesutbrudd,no.prat.aksjer,11406,937,0.67095864
no.eunet.diverse,no.video,169,510,0.67094755
no.kjemi,no.kryptografi,1463,537,0.670941
no.kryptografi,no.pc,537,25734,0.67091805
no.eunet.drift,no.prat.politikk,405,3672,0.6708915
no.alt.amiga,no.spill.rollespill,775,1017,0.6708838
no.sport.diverse,no.uninett.skole,6331,829,0.67087823
no.sport.volleyball,no.uninett.diverse,156,207,0.6708754
no.alt.mat,no.film,3909,12505,0.6708627
no.slekt,no.uninett.drift,8269,110,0.67080617
no.pressemeldinger.diskusjon,no.spill.rollespill,42,1017,0.6707687
no.lisp,no.stortinget,504,2563,0.6706967
no.tele,no.tungregning,5701,92,0.6706823
no.alt.irc-treff,no.tungregning,1017,92,0.6706731
no.bibsys,no.kryptografi,98,537,0.67065156
no.alt.tegneserier,no.folklore.generelt,2246,15,0.67056656
no.biz.nettilbydere,no.musikk.gitar,824,2387,0.6705459
no.it.emacs,no.uninett.drift,1054,110,0.6704822
no.general,no.reiser,76902,1987,0.6704261
no.marked,no.vr,26848,144,0.670426
no.kjemi,no.slekt.programmer,1463,459,0.6703006
no.pressemeldinger.diskusjon,no.vr,42,144,0.67029685
no.alkohol,no.alt.katter,3468,1932,0.6702569
no.alt.mat.drikke,no.mail.drift,758,576,0.6702309
no.psykologi,no.slekt,1754,8269,0.6702266
no.org.nobug.diverse,no.radio_tv,119,1682,0.6702229
no.alt.mat,no.elektronikk,3909,3838,0.6701426
no.marked,no.radio_tv,26848,1682,0.67011726
no.folklore.edb,no.org.decus,153,25,0.66996425
no.audio,no.bolig,10340,1148,0.6699258
no.org.isoc-no,no.typografi,46,303,0.66992265
no.alt.mat.drikke,no.uninett.skole,758,829,0.66987073
no.norsk,no.tele,17383,5701,0.66984993
no.jus,no.mac,8006,22107,0.669819
no.alt.god.jul,no.slekt.programmer,750,459,0.66980356
no.media,no.sport.fotball,123,2324,0.6697543
no.pressemeldinger.diskusjon,no.spill,42,12310,0.66974545
no.alt.fan.de-lillos,no.prat.ufo,244,762,0.6697017
no.typografi,no.video,303,510,0.66963476
no.bil,no.spill,6651,12310,0.66961753
no.folklore.edb,no.org.dnd,153,73,0.66960996
no.alt.god.jul,no.amiga,750,3265,0.66960496
no.mail.diverse,no.marked.jobb,1978,3836,0.6695998
no.prat.politikk,no.test,3672,3374,0.66957283
no.it.emacs,no.vit.diverse,1054,622,0.6695585
no.audio,no.eunet.hjelp,10340,601,0.6695527
no.alt.tegneserier,no.uninett.drift,2246,110,0.6695363
no.eunet.diverse,no.mswindow,169,772,0.6695328
no.alt.frustrasjoner,no.folklore.generelt,35424,15,0.6694938
no.musikk.klassisk,no.vit.diverse,288,622,0.6694907
no.eunet.diverse,no.sport.diverse,169,6331,0.66945046
no.eunet.drift,no.lisp,405,504,0.66943854
no.eunet.diverse,no.uninett.fik,169,49,0.6694108
no.bolig,no.mail.drift,1148,576,0.6693915
no.lisp,no.tex,504,225,0.66931224
no.alt.sjokolade,no.medisin,580,1490,0.6692875
no.prat.aksjer,no.student.samfund,937,234,0.6692336
no.alt.god.jul,no.bolig,750,1148,0.66920924
no.alt.mat,no.telepost,3909,948,0.66912377
no.bolig,no.eunet.diverse,1148,169,0.66901994
no.norsk.fagord,no.perl,310,1087,0.66899914
no.alt.radio-tv.irma-1000,no.marked.data,236,22621,0.6689535
no.mswindow,no.perl,772,1087,0.66894585
no.prat.aksjer,no.prat.politikk,937,3672,0.6689274
no.alt.motorsykler,no.tegnsett,42775,416,0.66882247
no.marked,no.radio-tv,26848,4392,0.66877514
no.alt.tegneserier,no.sport.fotball,2246,2324,0.6687288
no.alt.pompel-og-pilt,no.it.os.os2,367,696,0.66872495
no.alt.fan.de-lillos,no.sport.fotball,244,2324,0.66870904
no.alt.gullkorn,no.sport.diverse,7,6331,0.66865224
no.sport.orientering,no.sykkel,63,3996,0.668563
no.alt.frustrasjoner,no.uninett.katalog,35424,32,0.66854334
no.news.drift,no.prat.aksjer,571,937,0.66853887
no.alt.radio-tv.irma-1000,no.biz.annonser.data,236,1311,0.66850436
no.general,no.marked,76902,26848,0.66847795
no.musikk,no.psykologi,27521,1754,0.6684687
no.alt.fan.de-lillos,no.tegnsett,244,416,0.6683486
no.elektronikk,no.it.emacs,3838,1054,0.66833466
no.tex,no.unix,225,3935,0.6682902
no.biz.diskusjoner,no.folklore.overtro,276,11,0.6682818
